-1247,48,-9953
-8049,13088,252
242,-3897,-9953
-4081,704,-4945
32,1664,3088
-5129,160,-20417
-1247,48,-9953
-8049,13088,252
-12145,-16129,-19905
-5965,-7921,-19713
-5989,-7921,26751
-5873,2304,27903
-12281,-14305,25855
-4785,-16321,25727
1444,-14369,26879
1700,-16353,-19713
-5925,-7921,-9729
-4089,2240,-19905
-1519,-1969,-18881
-1503,-1801,-13249
-1729,-1121,-13249
-1255,-6065,-26113
32,888,-4849
-3317,256,26878
-2685,3136,14079
-2429,3840,-26465
-2669,12320,252
-2869,4064,-26337
130,3776,-26209
-1889,112,-6625
-1695,256,-5105
-6609,768,-9761
0,32,-19905
-2941,240,-26337
-2381,5136,-19202
-2861,64,25726
-3385,248,-13041
-3121,4040,-26209
-7017,-32704,25854
-3961,192,-9825
-2941,32,12863
-2381,2800,12863
480,2080,25726
-3861,4992,27774
-1805,1416,-26337
196,1216,-13105
-3949,-2449,12863
-1535,-8161,-9953
-1855,-7873,-9825
-1679,128,-9825
-3193,-7601,-19905
-7537,-2033,12863
250,-1921,-16129
-3829,-1793,-16129
-3885,-3905,255
164,-3809,252
-3937,-1857,-6593
-2357,-4353,127
-3901,-3825,252
-2341,-32641,12863
-7025,-32577,-19905
-3801,2240,-13057
-4897,-9457,25727
-5553,-16193,26751
-4833,-3857,-4865
-6125,-4081,6400
-6101,-5873,25727
-6125,-7921,25855
132,15424,12543
-12153,7168,-19393
-2879,1536,-13121
-4145,2608,-19905
-2049,2080,-19905
-1531,2000,-25985
-3053,32,12800
-3301,1568,-19905
-3565,960,-9825
256,240,-13185
-3537,0,-13057
-3297,208,-9761
-2677,128,-26369
196,2048,12863
-2017,2048,6400
-2269,272,25726
-3965,0,127
-4017,0,-13297
-2277,1984,6400
-3353,2704,12864
-3909,1776,-32641
-6497,-7873,-26113
-3993,-3713,-9569
-4029,-3649,-9825
-3449,-7105,-26241
-3553,-6065,-19905
-3037,-8225,25727
-2557,-7649,25727
-3289,-5489,25727
-1985,-1249,-6401
-4077,2560,26751
-3569,-6017,-9761
-2823,-2041,-13057
-5949,-1777,-19777
-4193,-16257,-9953
832,136,-9761
-4217,1792,-9729
96,-4065,-4913
112,-8161,-9761
642,-6385,-19905
-2959,-3321,-4865
-2879,-1017,-13185
-2819,-1529,-26241
-1783,-1409,-9953
-5933,-3313,25727
-10033,-769,-26497
-4449,-913,-10017
-12153,0,-19905
-11377,7904,-26113
980,3568,-19777
528,256,-26369
-1415,16,-19905
-1665,192,-1537
832,400,-26113
-2165,1792,25727
-1927,128,-2553
-3729,64,-26337
1188,0,12863
-3097,128,-13297
-3121,6288,255
-3937,6672,25726
-1661,3848,-26337
1956,6400,252
2020,4352,25726
1156,224,-26337
-3661,8128,6655
64,-14241,-19714
-3837,-6241,25726
-3169,-16193,-9953
0,-7329,-26113
512,-4049,-26113
-3569,-14017,25727
-3037,-12705,25854
-3545,-7921,25854
-1511,-6337,-13057
-4881,-6081,-20417
452,-4897,25727
-5921,-3057,-26113
-4153,-16161,-9953
-5965,-16369,-9857
-12153,-32737,25855
-11121,-13345,25855
-6005,-7409,-9729
-5997,-8177,12800
-5949,-8177,-10113
-2847,-1017,-4881
-2823,-1785,-19777
-7409,384,-26113
-2557,1008,-26241
-4013,32,-19905
-3961,240,-6649
436,6272,25726
-1855,136,-13297
-3865,224,-6649
-1319,48,-26337
-1295,128,-13297
-769,128,-6649
-3581,64,12863
-2039,192,-6649
-1795,16,-25825
256,128,-13297
-2017,0,-6649
-4089,0,-13297
768,128,-26337
-1799,16,-26337
-2045,256,-6457
-2041,-765,-13297
-3093,-1521,12351
-3933,-7409,-26113
-1927,-3481,-26241
-1927,-1309,-4977
-3997,1024,25727
-1695,-3833,-19777
-2989,-7809,12543
-3577,-3457,6400
-3321,-2017,-9953
-3577,2248,-26113
498,6656,25727
-5957,-2801,25727
-2879,-505,3072
-6009,-15585,-6914
-6141,-14321,-19905
-6425,-32705,-20417
1010,-16161,-9697
-3063,-2041,-4913
-3023,-2809,-9729
-9201,-16321,26751
132,-25,-4721
132,-3233,25727
-2879,-249,3072
-5965,-241,-10209
-5989,-2033,-9761
-4377,-1081,-9825
-8161,1056,-26497
-4065,1928,-32577
180,128,-9953
-3965,248,-2361
-3961,176,-2361
-8049,800,-19905
-7521,240,-6401
-2909,6688,25726
-2861,3040,255
-3089,2144,127
250,160,-13297
-1985,0,-6649
-1223,1808,255
-1537,764,-16353
-4093,32,-26337
-4041,0,-13297
0,120,-13297
-1251,704,-13297
-1823,1216,127
1010,-521,-26209
-6769,-2337,25726
-2941,-14689,26751
-3577,-8145,-26113
-1503,3344,25727
0,944,-9953
-3949,8160,12863
-3385,2832,255
-1031,2568,255
-3385,3208,12352
-2917,0,12800
-5917,-2033,-9953
-5981,-241,6400
-11633,-14721,25727
-6013,-7409,-9473
96,640,-9953
-6113,-3329,-4993
-6125,-5105,-19905
-3023,-3321,-19905
-6013,-753,-19905
-5425,5760,25727
-5425,-4065,-26113
-5953,-609,-9761
1956,-881,-26369
-5981,-753,-26113
-5997,-1009,-13057
-4473,-8001,-2305
-8561,-15745,-19905
-5937,-7761,-19905
194,-993,-13249
-5657,-3825,-19905
-1985,-287,-2521
1536,-6001,25727
-4065,768,-10209
-4053,288,13055
-1921,208,-2425
-2941,3712,127
-4473,6400,25726
-3397,32,12863
994,32,-26337
-772,208,-3325
738,248,-13297
-2861,240,-26337
-7025,13344,252
-2941,224,-10209
-3705,224,-5105
-1911,32,12863
1924,3824,12863
-3169,2016,3216
-4005,112,-9953
-1511,504,-9569
-5905,4480,25854
-2047,764,3088
512,-1281,-4913
-2477,-7937,-13057
-3185,-16273,-26241
-3961,-7953,-5105
-2847,-5113,6432
-5965,-241,-9953
-8529,-1009,-9761
-2041,-881,-5041
-3325,-3969,25727
-2041,448,1728
1792,-14529,25727
-3569,-7793,13055
-3505,-8161,-4977
-6249,-2017,255
-1599,-945,-26337
-8049,-4865,12864
-8041,-353,255
-6769,-289,12351
1668,16,-13057
-3961,128,-13297
-1825,736,-13233
-1647,31264,25726
-3953,7936,-29569
-8049,7168,12863
-2429,128,-26337
1156,144,12351
-4089,0,-13297
-2621,640,-19905
-4457,3008,25727
-5977,64,12863
898,520,-9761
642,448,-9953
-1729,1544,-26241
-1985,256,-5009
-3061,-15457,-6916
-1247,2192,25727
-3541,-12193,25854
-3577,392,-20289
-7025,-7905,25854
-8049,-15777,25854
-3865,-4033,-9761
-3865,-305,-13265
-3097,-2033,25726
-3389,-1137,12863
-1183,-6937,-26241
-3061,-28481,25854
-4873,-32129,-19905
-5985,-32705,-19393
-6077,-12273,-19713
-6125,-4081,-9953
-5997,-241,-9825
-1535,-1633,-19777
0,248,-26241
-7665,768,-9761
-3069,144,24703
-2797,4160,25727
-5933,2304,-19905
-5933,2048,12864
-4385,2432,-26113
-2847,1280,-26241
452,2784,-26113
-12153,-737,24703
112,-769,-2489
-6073,-7985,25727
-6125,-7153,-9985
-6141,-6129,-19905
-3043,-3833,-19713
-3007,-4089,12800
-6013,-8177,-10017
-4153,-65,-13249
-5941,3072,-9825
-5949,2816,-19777
226,1280,-9697
-2047,1120,-4881
-5933,3072,-26241
1700,-833,6144
-5949,-8177,6400
1956,6544,13055
-1263,-2337,-9953
-3285,4992,12543
-2023,248,-2553
-2847,0,-5105
-1785,248,-2553
-1763,248,-5105
544,1056,-9953
0,496,-26113
-3253,2144,25727
-3577,368,-19777
1156,16,-19905
-3125,3520,255
-1545,1280,-32513
148,16,-9953
32,160,-10209
-2895,0,-5105
-3029,7776,12351
1056,-4481,12863
-1167,-16353,-26337
-3993,-3833,12863
-2261,4112,12864
-1027,-3825,12991
-1793,480,-3325
-2017,0,-6457
-2173,32,12863
-3637,128,12863
-753,8,-13297
-1469,96,12863
-1901,240,-24561
-3937,112,16415
48,896,-26273
-1343,-8113,-32513
-4017,-1785,-26593
-1055,3848,-26209
-7025,-13793,25854
512,-6785,-19777
994,-4833,-26113
226,-353,-6529
-2015,-1289,-9953
-4001,16,6400
768,1312,13055
-1665,96,-5105
-1535,48,-9953
-11601,0,-19905
-2943,256,-5057
-6141,1792,-9953
-3071,1024,-9761
-6705,-6849,-28419
-6969,-257,-4881
196,-769,-9889
-7965,-3313,-20225
1010,-1529,-10113
-6417,5584,25855
-6137,2064,-9953
0,1176,3088
784,-1849,-4993
-4857,-6513,25727
-6101,-4337,-19905
-6101,-4081,-9729
-6141,-3825,-19713
-3041,912,-19905
-6061,0,-4881
1204,-1905,-26113
-5901,-1777,-26113
196,-369,-9825
-4961,-7393,6144
-2873,-3937,-4865
-4073,1944,-13249
64,192,-20417
-3353,2816,12991
-3285,1472,12863
-2017,512,-6425
-1561,228,-2329
-2893,6608,252
-2041,-253,-6409
-3829,-2929,12351
-4081,-4089,-26593
-2469,-4929,12863
-4089,0,-32641
-8177,512,127
-1219,704,-13169
0,112,-26337
-2015,112,-26337
-2805,736,252
-1999,208,-13105
-4065,0,-32705
-3101,-3969,255
130,-3897,-13185
-1871,1664,-32641
-1311,2320,12863
-4089,256,-32513
-4057,256,-26209
-2015,16,-26593
48,192,-6649
1536,1040,255
-1471,0,-26337
-3965,192,25726
-3993,0,-13297
-1251,-3609,25726
-1039,-801,-26145
-2817,736,-6593
-2047,960,1544
-5925,-2033,-13057
-2831,-4089,-10209
-1487,4624,24703
-1511,-1817,-13249
-7009,-15201,25727
-3405,-15553,24830
112,1472,-19905
-1729,-2041,-4977
-12137,-1249,24703
-5953,-753,-20417
-5649,-3105,12543
